"10-barrel-brewing-co-portland-2"|"10 Barrel Brewing Co"|"breweries, pubs"|"345"|"4.0"|"https://www.yelp.com/biz/10-barrel-brewing-co-portland-2?adjust_creative=ZVY2cX00het4WqBvsZGOrg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=ZVY2cX00het4WqBvsZGOrg"|"5032241700"|"1411 NW Flanders St"|"Portland"|"OR"|"97209"
"118-modules-portland"|"118 Modules"|"localflavor"|"1"|"4.0"|"https://www.yelp.com/biz/118-modules-portland?adjust_creative=ZVY2cX00het4WqBvsZGOrg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=ZVY2cX00het4WqBvsZGOrg"|"None"|"733-739 SW 10th Ave"|"Portland"|"OR"|"97205"
"12th-avenue-bar-and-grill-portland"|"12th Avenue Bar & Grill"|"bars, tradamerican"|"2"|"2.0"|"https://www.yelp.com/biz/12th-avenue-bar-and-grill-portland?adjust_creative=ZVY2cX00het4WqBvsZGOrg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=ZVY2cX00het4WqBvsZGOrg"|"5032482112"|"1135 SW Morrison St"|"Portland"|"OR"|"97205"
"13-virtues-brewing-co-portland"|"13 Virtues Brewing Co"|"breweries, pubs, sandwiches"|"50"|"3.5"|"https://www.yelp.com/biz/13-virtues-brewing-co-portland?adjust_creative=ZVY2cX00het4WqBvsZGOrg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=ZVY2cX00het4WqBvsZGOrg"|"5032398544"|"6410 SE Milwaukie Ave"|"Portland"|"OR"|"97202"
"1431-nw-53rd-portland-2"|"1431 NW 53rd"|"bedbreakfast"|"3"|"5.0"|"https://www.yelp.com/biz/1431-nw-53rd-portland-2?adjust_creative=ZVY2cX00het4WqBvsZGOrg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=ZVY2cX00het4WqBvsZGOrg"|"5032281036"|"1431 NW 53rd Dr"|"Portland"|"OR"|"97210"
"180-portland-2"|"180"|"desserts, spanish, vegan"|"144"|"4.0"|"https://www.yelp.com/biz/180-portland-2?adjust_creative=ZVY2cX00het4WqBvsZGOrg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=ZVY2cX00het4WqBvsZGOrg"|"5034779163"|"2218 NE Broadway St"|"Portland"|"OR"|"97232"
"21-teriyaki-bento-beaverton"|"21 Teriyaki Bento"|"hotdogs"|"21"|"3.5"|"https://www.yelp.com/biz/21-teriyaki-bento-beaverton?adjust_creative=ZVY2cX00het4WqBvsZGOrg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=ZVY2cX00het4WqBvsZGOrg"|"5038486532"|"17735 SW Tualatin Valley Hwy"|"Beaverton"|"OR"|"97006"
"21st-avenue-bar-and-grill-portland"|"21st Avenue Bar & Grill"|"pubs, tradamerican"|"122"|"3.5"|"https://www.yelp.com/biz/21st-avenue-bar-and-grill-portland?adjust_creative=ZVY2cX00het4WqBvsZGOrg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=ZVY2cX00het4WqBvsZGOrg"|"5032224121"|"721 NW 21st Ave"|"Portland"|"OR"|"97209"
"21st-century-pizza-portland"|"21st Century Pizza"|"pizza"|"117"|"4.0"|"https://www.yelp.com/biz/21st-century-pizza-portland?adjust_creative=ZVY2cX00het4WqBvsZGOrg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=ZVY2cX00het4WqBvsZGOrg"|"5039541570"|"1221 SW Jefferson St"|"Portland"|"OR"|"97201"
"23hoyt-portland-2"|"23Hoyt"|"breakfast_brunch, gastropubs, newamerican"|"340"|"3.5"|"https://www.yelp.com/biz/23hoyt-portland-2?adjust_creative=ZVY2cX00het4WqBvsZGOrg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=ZVY2cX00het4WqBvsZGOrg"|"5034457400"|"529 NW 23rd Ave"|"Portland"|"OR"|"97210"
"24th-and-meatballs-portland"|"24th & Meatballs"|"italian, newamerican, sandwiches"|"173"|"4.0"|"https://www.yelp.com/biz/24th-and-meatballs-portland?adjust_creative=ZVY2cX00het4WqBvsZGOrg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=ZVY2cX00het4WqBvsZGOrg"|"5032822557"|"2341 NE Glisan St"|"Portland"|"OR"|"97232"
"3-doors-down-cafe-and-lounge-portland"|"3 Doors Down Cafe & Lounge"|"italian"|"260"|"4.5"|"https://www.yelp.com/biz/3-doors-down-cafe-and-lounge-portland?adjust_creative=ZVY2cX00het4WqBvsZGOrg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=ZVY2cX00het4WqBvsZGOrg"|"5032366886"|"1429 SE 37th Ave"|"Portland"|"OR"|"97214"
"365-by-whole-foods-market-lake-oswego"|"365 By Whole Foods Market"|"grocery, markets, organic_stores"|"35"|"3.5"|"https://www.yelp.com/biz/365-by-whole-foods-market-lake-oswego?adjust_creative=ZVY2cX00het4WqBvsZGOrg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=ZVY2cX00het4WqBvsZGOrg"|"5037824672"|"11 S State St"|"Lake Oswego"|"OR"|"97034"
"39th-st-sports-pub-portland"|"39th St Sports Pub"|"sportsbars"|"1"|"3.0"|"https://www.yelp.com/biz/39th-st-sports-pub-portland?adjust_creative=ZVY2cX00het4WqBvsZGOrg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=ZVY2cX00het4WqBvsZGOrg"|"5032331363"|"3871 SE Division St"|"Portland"|"OR"|"97255"
"4-4-2-portland"|"4-4-2"|"mediterranean, modern_european, sportsbars"|"104"|"4.5"|"https://www.yelp.com/biz/4-4-2-portland?adjust_creative=ZVY2cX00het4WqBvsZGOrg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=ZVY2cX00het4WqBvsZGOrg"|"5032383693"|"1739 SE Hawthorne Blvd"|"Portland"|"OR"|"97214"
"40-lbs-coffee-bar-portland"|"40 LBS Coffee Bar"|"coffee"|"21"|"5.0"|"https://www.yelp.com/biz/40-lbs-coffee-bar-portland?adjust_creative=ZVY2cX00het4WqBvsZGOrg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=ZVY2cX00het4WqBvsZGOrg"|"5033295782"|"824 SW 2nd Ave"|"Portland"|"OR"|"97204"
"45th-st-pub-and-grill-portland"|"45th St Pub & Grill"|"musicvenues, newamerican, pubs"|"14"|"4.0"|"https://www.yelp.com/biz/45th-st-pub-and-grill-portland?adjust_creative=ZVY2cX00het4WqBvsZGOrg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=ZVY2cX00het4WqBvsZGOrg"|"5032467061"|"4511 SW Beaverton-Hillsdale Hwy"|"Portland"|"OR"|"97201"
"5-volcanes-pupuseria-portland"|"5 Volcanes Pupuseria"|"salvadoran"|"13"|"4.5"|"https://www.yelp.com/biz/5-volcanes-pupuseria-portland?adjust_creative=ZVY2cX00het4WqBvsZGOrg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=ZVY2cX00het4WqBvsZGOrg"|"5037521986"|"Portland Mercado, 7238 SE Foster"|"Portland"|"OR"|"97206"
"500-sundries-portland"|"500 Sundries"|"breakfast_brunch, salad, sandwiches"|"1"|"5.0"|"https://www.yelp.com/biz/500-sundries-portland?adjust_creative=ZVY2cX00het4WqBvsZGOrg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=ZVY2cX00het4WqBvsZGOrg"|"5037363085"|"500 NE Multnomah St, Ste 130"|"Portland"|"OR"|"97232"
"503-burger-co-portland"|"503 Burger Co"|"burgers, foodtrucks, tradamerican"|"26"|"4.5"|"https://www.yelp.com/biz/503-burger-co-portland?adjust_creative=ZVY2cX00het4WqBvsZGOrg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=ZVY2cX00het4WqBvsZGOrg"|"5038474423"|"Mississippi Marketplace, 4233 N Mississippi Ave"|"Portland"|"OR"|"97217"
"503-uncorked-sherwood-4"|"503 Uncorked"|"tradamerican, wine_bars"|"12"|"4.0"|"https://www.yelp.com/biz/503-uncorked-sherwood-4?adjust_creative=ZVY2cX00het4WqBvsZGOrg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=ZVY2cX00het4WqBvsZGOrg"|"5032173350"|"22578 SW Washington St"|"Sherwood"|"OR"|"97140"
"6-west-lounge-vancouver"|"6 West Lounge"|"lounges"|"9"|"4.0"|"https://www.yelp.com/biz/6-west-lounge-vancouver?adjust_creative=ZVY2cX00het4WqBvsZGOrg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=ZVY2cX00het4WqBvsZGOrg"|"3607187333"|"606 Broadway"|"Vancouver"|"WA"|"98660"
"7-eleven-beaverton"|"7-Eleven"|"convenience"|"5"|"3.0"|"https://www.yelp.com/biz/7-eleven-beaverton?adjust_creative=ZVY2cX00het4WqBvsZGOrg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=ZVY2cX00het4WqBvsZGOrg"|"5036262591"|"10069 SW Nimbus Ave"|"Beaverton"|"OR"|"97008"
"7-eleven-beaverton-12"|"7-Eleven"|"convenience"|"4"|"3.5"|"https://www.yelp.com/biz/7-eleven-beaverton-12?adjust_creative=ZVY2cX00het4WqBvsZGOrg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=ZVY2cX00het4WqBvsZGOrg"|"5035917257"|"17771 SW Tualatin Valley Hwy"|"Beaverton"|"OR"|"97006"
"7-eleven-beaverton-2"|"7-Eleven"|"convenience"|"3"|"3.0"|"https://www.yelp.com/biz/7-eleven-beaverton-2?adjust_creative=ZVY2cX00het4WqBvsZGOrg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=ZVY2cX00het4WqBvsZGOrg"|"None"|"8106 SW Hall Blvd"|"Beaverton"|"OR"|"97008"
"7-eleven-beaverton-3"|"7-Eleven"|"convenience"|"6"|"3.5"|"https://www.yelp.com/biz/7-eleven-beaverton-3?adjust_creative=ZVY2cX00het4WqBvsZGOrg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=ZVY2cX00het4WqBvsZGOrg"|"5036432748"|"14641 SW Millikan Way"|"Beaverton"|"OR"|"97005"
"7-eleven-beaverton-4"|"7-Eleven"|"convenience"|"1"|"3.0"|"https://www.yelp.com/biz/7-eleven-beaverton-4?adjust_creative=ZVY2cX00het4WqBvsZGOrg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=ZVY2cX00het4WqBvsZGOrg"|"5035245488"|"9510 SW 125th Ave"|"Beaverton"|"OR"|"97008"
